PLAYER_ID,BIRTHDATE
2544,1984-12-30T00:00:00
101108,1985-05-06T00:00:00
200768,1986-03-25T00:00:00
200782,1985-05-05T00:00:00
201142,1988-09-29T00:00:00
201143,1986-06-03T00:00:00
201144,1987-10-11T00:00:00
201145,1986-08-28T00:00:00
201566,1988-11-12T00:00:00
201567,1988-09-07T00:00:00
201569,1988-12-25T00:00:00
201572,1988-04-01T00:00:00
201587,1988-12-14T00:00:00
201935,1989-08-26T00:00:00
201939,1988-03-14T00:00:00
201942,1989-08-07T00:00:00
201950,1990-06-12T00:00:00
201976,1988-07-12T00:00:00
202330,1990-03-23T00:00:00
202331,1990-05-02T00:00:00
202681,1992-03-23T00:00:00
202685,1992-05-06T00:00:00
202691,1990-02-08T00:00:00
202692,1991-07-20T00:00:00
202694,1989-09-02T00:00:00
202695,1991-06-29T00:00:00
202696,1990-10-24T00:00:00
202699,1992-07-15T00:00:00
202704,1990-04-16T00:00:00
202710,1989-09-14T00:00:00
202711,1989-04-18T00:00:00
203076,1993-03-11T00:00:00
203078,1993-06-28T00:00:00
203081,1990-07-15T00:00:00
203084,1992-05-30T00:00:00
203095,1992-10-29T00:00:00
203110,1990-03-04T00:00:00
203114,1991-08-12T00:00:00
203468,1991-09-19T00:00:00
203471,1993-09-15T00:00:00
203482,1991-04-19T00:00:00
203484,1993-02-18T00:00:00
203496,1990-12-14T00:00:00
203497,1992-06-26T00:00:00
203501,1992-03-16T00:00:00
203507,1994-12-06T00:00:00
203897,1995-03-10T00:00:00
203903,1992-06-07T00:00:00
203914,1994-09-14T00:00:00
203915,1993-04-06T00:00:00
203924,1994-03-12T00:00:00
203932,1995-09-16T00:00:00
203935,1994-03-06T00:00:00
203937,1993-09-20T00:00:00
203944,1994-11-29T00:00:00
203952,1995-02-23T00:00:00
203954,1994-03-16T00:00:00
203991,1994-05-18T00:00:00
203992,1992-08-18T00:00:00
203994,1994-08-23T00:00:00
203999,1995-02-19T00:00:00
204001,1995-08-02T00:00:00
204060,1987-10-02T00:00:00
204456,1992-03-25T00:00:00
1626145,1996-05-10T00:00:00
1626153,1992-04-26T00:00:00
1626156,1996-02-23T00:00:00
1626157,1995-11-15T00:00:00
1626162,1995-12-09T00:00:00
1626164,1996-10-30T00:00:00
1626166,1994-08-08T00:00:00
1626167,1996-03-24T00:00:00
1626168,1995-11-05T00:00:00
1626171,1995-02-10T00:00:00
1626172,1996-02-06T00:00:00
1626174,1995-09-27T00:00:00
1626179,1994-03-17T00:00:00
1626181,1993-05-25T00:00:00
1626192,1993-01-06T00:00:00
1626196,1993-09-15T00:00:00
1626204,1993-01-01T00:00:00
1626220,1993-06-05T00:00:00
1626224,1995-04-08T00:00:00
1627734,1996-05-03T00:00:00
1627736,1996-11-26T00:00:00
1627739,1994-03-18T00:00:00
1627741,1992-12-17T00:00:00
1627742,1997-09-02T00:00:00
1627747,1994-08-25T00:00:00
1627749,1996-09-19T00:00:00
1627750,1997-02-23T00:00:00
1627751,1995-10-15T00:00:00
1627752,1994-03-22T00:00:00
1627759,1996-10-24T00:00:00
1627763,1992-12-11T00:00:00
1627777,1993-06-17T00:00:00
1627780,1992-12-01T00:00:00
1627783,1994-04-02T00:00:00
1627826,1997-03-18T00:00:00
1627827,1993-05-04T00:00:00
1627832,1994-02-25T00:00:00
1627936,1994-02-28T00:00:00
1628365,1998-05-29T00:00:00
1628368,1997-12-20T00:00:00
1628369,1998-03-03T00:00:00
1628370,1998-02-04T00:00:00
1628372,1997-11-25T00:00:00
1628374,1997-05-22T00:00:00
1628378,1996-09-07T00:00:00
1628379,1996-06-24T00:00:00
1628380,1997-11-19T00:00:00
1628381,1997-09-23T00:00:00
1628384,1997-07-17T00:00:00
1628386,1998-04-21T00:00:00
1628389,1997-07-18T00:00:00
1628392,1998-05-05T00:00:00
1628398,1995-07-24T00:00:00
1628401,1994-07-02T00:00:00
1628404,1995-03-06T00:00:00
1628415,1996-01-22T00:00:00
1628467,1992-01-29T00:00:00
1628470,1990-12-19T00:00:00
1628960,1995-10-08T00:00:00
1628963,1999-03-14T00:00:00
1628969,1996-08-30T00:00:00
1628971,1996-08-15T00:00:00
1628973,1996-08-31T00:00:00
1628976,1999-04-16T00:00:00
1628978,1997-01-31T00:00:00
1628983,1998-07-12T00:00:00
1628989,1998-08-27T00:00:00
1628991,1999-09-15T00:00:00
1628995,1999-08-11T00:00:00
1628997,1995-09-28T00:00:00
1629001,1998-05-28T00:00:00
1629006,1998-09-01T00:00:00
1629008,1998-06-29T00:00:00
1629011,1998-04-01T00:00:00
1629012,1999-01-04T00:00:00
1629013,1997-03-13T00:00:00
1629014,1999-06-08T00:00:00
1629018,1999-01-18T00:00:00
1629020,1999-04-03T00:00:00
1629021,1997-04-26T00:00:00
1629022,1998-12-14T00:00:00
1629023,1998-08-23T00:00:00
1629027,1998-09-19T00:00:00
1629028,1998-07-23T00:00:00
1629029,1999-02-28T00:00:00
1629060,1998-02-08T00:00:00
1629130,1994-04-22T00:00:00
1629234,1997-02-01T00:00:00
1629312,1996-12-09T00:00:00
1629611,1996-10-18T00:00:00
1629614,2000-01-16T00:00:00
1629622,1996-03-28T00:00:00
1629627,2000-07-06T00:00:00
1629628,2000-06-14T00:00:00
1629629,1999-09-01T00:00:00
1629631,1997-12-02T00:00:00
1629632,2000-02-16T00:00:00
1629636,2000-01-26T00:00:00
1629639,2000-01-20T00:00:00
1629640,1999-10-11T00:00:00
1629651,1999-04-17T00:00:00
1629652,1999-04-19T00:00:00
1629655,1998-10-01T00:00:00
1629656,2000-05-08T00:00:00
1629659,2000-11-25T00:00:00
1629661,1996-03-03T00:00:00
1629673,1999-06-19T00:00:00
1629675,1999-08-26T00:00:00
1629680,1997-03-04T00:00:00
1629684,1998-11-30T00:00:00
1629723,1996-03-22T00:00:00
1629731,1996-11-20T00:00:00
1630162,2001-08-05T00:00:00
1630163,2001-08-22T00:00:00
1630164,2001-03-31T00:00:00
1630165,2001-07-27T00:00:00
1630166,2001-01-03T00:00:00
1630167,1998-03-04T00:00:00
1630168,2000-12-11T00:00:00
1630169,2000-02-29T00:00:00
1630170,2000-08-23T00:00:00
1630171,2001-01-26T00:00:00
1630172,2001-08-26T00:00:00
1630173,1999-09-19T00:00:00
1630174,1999-10-16T00:00:00
1630175,2000-05-15T00:00:00
1630178,2000-11-04T00:00:00
1630180,1999-04-09T00:00:00
1630182,2000-11-16T00:00:00
1630183,2000-09-29T00:00:00
1630188,2000-03-16T00:00:00
1630191,2001-05-22T00:00:00
1630193,1999-06-17T00:00:00
1630198,1999-07-02T00:00:00
1630200,2000-01-08T00:00:00
1630208,1997-11-29T00:00:00
1630214,1999-01-12T00:00:00
1630217,1998-06-25T00:00:00
1630224,2002-02-09T00:00:00
1630228,2002-10-06T00:00:00
1630230,1998-01-24T00:00:00
1630245,2000-01-17T00:00:00
1630256,1995-10-28T00:00:00
1630529,1998-10-06T00:00:00
1630530,2000-06-18T00:00:00
1630532,2001-08-27T00:00:00
1630533,2001-09-12T00:00:00
1630534,2000-04-20T00:00:00
1630544,2001-02-03T00:00:00
1630557,1999-03-03T00:00:00
1630558,1998-09-05T00:00:00
1630559,1998-05-29T00:00:00
1630560,2001-10-13T00:00:00
1630567,2001-08-01T00:00:00
1630573,1997-12-08T00:00:00
1630578,2002-07-25T00:00:00
1630581,2002-10-10T00:00:00
1630583,2001-01-10T00:00:00
1630587,1998-07-28T00:00:00
1630591,2001-06-03T00:00:00
1630596,2001-06-18T00:00:00
1630598,1999-01-02T00:00:00
1630631,1998-04-12T00:00:00
1630692,1998-10-23T00:00:00
1630700,2003-03-17T00:00:00
1631093,2002-02-13T00:00:00
1631094,2002-11-12T00:00:00
1631095,2003-05-13T00:00:00
1631097,2002-06-19T00:00:00
1631099,2000-08-19T00:00:00
1631101,2003-05-30T00:00:00
